gender,birth_year,education_stage,work_mode,device_usage_type,daily_screen_time,social_media_hours,doomscrolling_duration,late_night_device_usage,notification_count,smartphone_unlocks,app_switch_frequency,concentration_score,distraction_frequency,focus_sessions,deep_work_hours,task_completion_rate,sleep_hours,sleep_quality,motivation_level,emotional_exhaustion,stress_level,mental_fatigue,DE01_indicator_score,DE02_indicator_score,DE04_indicator_score,DE05_indicator_score,PS02_indicator_score,CP03_indicator_score,CP02_indicator_score,CP04_indicator_score,SR01_indicator_score,SR05_indicator_score,PS03_indicator_score,PS04_indicator_score,psychological_symptoms_score,digital_exposure_score,cognitive_performance_score,sleep_and_recovery_score,digital_burnout_score,dbi_level
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,2,3,3,3,3,3,6,3,2,3,2,1,6,7,4,4,4,0.75,0.8333333333333333,1.0,1.0,0.75,0.5925925925925926,0.0,0.33333333333333337,0.75,0.4444444444444444,0.75,0.75,0.27642474947024387,0.2896597388081331,0.06293091998464048,0.07747736835456802,0.7064927766175855,High Risk
Nữ,2000 - 2002,Freelancer / tự kinh doanh,"Kết hợp hybrid (2-3 ngày trực tiếp, còn lại online/remote)",Cân bằng cả học lẫn giải trí,3,2,3,3,0,2,1,1,3,1,0,1,3,7,6,3,5,5,0.75,0.5,0.3333333333333333,1.0,0.75,0.888888888888889,1.0,0.6666666666666667,0.25,0.3333333333333335,0.75,1.0,0.28410866078937935,0.23442955680135535,0.16696355573837177,0.03154577543575718,0.7170475487648637,High Risk
Nam,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để giải trí (mạng xã hội, game, xem phim)",2,2,3,2,1,1,1,8,1,3,3,0,1,5,5,4,3,3,0.5,0.5,0.3333333333333333,0.6666666666666666,0.75,0.1851851851851852,0.0,1.0,0.75,0.5555555555555556,0.625,0.5,0.24235536424121892,0.16908205196453813,0.0484588811448023,0.08090935994510873,0.5408056572956681,Low Risk
Nam,2003 - 2005,Sinh viên đại học / cao đẳng (năm 3-4+),"Kết hợp hybrid (2-3 ngày trực tiếp, còn lại online/remote)",Cân bằng cả học lẫn giải trí,4,0,1,2,0,1,3,3,1,3,2,1,2,5,4,3,4,2,1.0,0.5,0.16666666666666666,0.6666666666666666,0.25,0.3703703703703704,0.33333333333333337,0.6666666666666667,0.5,0.5555555555555556,0.625,0.25,0.17129800488641664,0.22403323773898165,0.07646655940449024,0.05965955928097365,0.5314573613108622,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),"Tự do, không cố định lịch trình",Cân bằng cả học lẫn giải trí,1,1,1,3,0,0,0,7,1,1,1,2,4,3,4,4,5,5,0.25,0.16666666666666666,0.0,1.0,0.25,0.4444444444444445,0.6666666666666667,0.33333333333333337,0.0,0.7777777777777778,0.875,1.0,0.24712068666360207,0.13536274669994974,0.09468350193330938,0.0240239411337849,0.5011908764306461,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),"Kết hợp hybrid (2-3 ngày trực tiếp, còn lại online/remote)",Cân bằng cả học lẫn giải trí,4,3,0,3,2,3,2,5,3,2,1,1,1,4,4,3,4,1,1.0,0.8333333333333333,0.8333333333333333,1.0,0.0,0.6296296296296297,0.6666666666666667,0.6666666666666667,0.75,0.6666666666666667,0.625,0.0,0.13192736954944775,0.31157805285544704,0.121715057571431,0.08434135153564942,0.6495618315119751,Medium Risk
Nam,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,4,3,4,3,0,0,1,7,3,0,2,2,4,9,7,3,5,4,1.0,0.6666666666666666,0.0,1.0,1.0,0.7777777777777778,0.33333333333333337,0.33333333333333337,0.0,0.11111111111111116,0.75,0.75,0.3081114734880773,0.25061928881261086,0.10165226099766873,0.0034319915905407015,0.6638150148888977,Medium Risk
Nam,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,4,3,3,3,1,2,0,4,1,2,3,3,2,6,7,3,4,4,1.0,0.5,0.5,1.0,0.75,0.4444444444444445,0.0,0.0,0.5,0.4444444444444444,0.625,0.75,0.2500392755603544,0.27857698620830074,0.03916294292347511,0.05622756769043295,0.6240067723825632,Medium Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,1,2,2,3,1,1,0,5,1,2,1,2,2,8,6,3,4,4,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.40740740740740744,0.6666666666666667,0.33333333333333337,0.5,0.22222222222222232,0.625,0.75,0.21835255154252092,0.16297783770333862,0.09141992335635311,0.049363584509351556,0.5221138971115642,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,2,1,1,3,0,1,0,4,0,3,2,2,3,8,4,4,5,5,0.5,0.16666666666666666,0.16666666666666666,1.0,0.25,0.22222222222222224,0.33333333333333337,0.33333333333333337,0.25,0.22222222222222232,0.875,1.0,0.24712068666360207,0.17951017610689513,0.052698582343324855,0.02811378384521648,0.5074432289590386,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,1,1,1,3,1,2,3,8,1,2,3,2,2,10,8,4,5,4,0.25,0.6666666666666666,0.5,1.0,0.25,0.29629629629629634,0.0,0.33333333333333337,0.5,0.0,0.875,0.75,0.2394367753444666,0.1848643466706692,0.03682229136899041,0.04249960132827015,0.5036230147123963,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),"Tự do, không cố định lịch trình",Cân bằng cả học lẫn giải trí,3,2,4,3,1,0,0,5,1,2,1,1,1,6,5,2,4,3,0.75,0.3333333333333333,0.16666666666666666,1.0,1.0,0.40740740740740744,0.6666666666666667,0.6666666666666667,0.75,0.4444444444444444,0.5,0.5,0.2476566143491628,0.21792902347778217,0.10213358610969345,0.07747736835456802,0.6451965922912064,Medium Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,3,0,3,2,1,1,5,0,3,0,1,1,8,4,2,3,1,0.75,0.6666666666666666,0.5,1.0,0.0,0.1851851851851852,1.0,0.6666666666666667,0.75,0.22222222222222232,0.375,0.0,0.07915642172966865,0.25093009012492845,0.10495556277620285,0.07061338517348663,0.5056554598042865,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,1,2,3,3,0,2,0,7,0,2,3,3,1,8,7,4,3,2,0.25,0.3333333333333333,0.3333333333333333,1.0,0.75,0.2222222222222223,0.0,0.0,0.75,0.22222222222222232,0.625,0.25,0.23467145292208347,0.16297783770333862,0.01958147146173756,0.07061338517348663,0.4878441472606463,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,4,1,2,2,2,1,1,6,2,3,3,2,2,7,7,4,5,5,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5,0.3703703703703704,0.0,0.33333333333333337,0.5,0.3333333333333335,0.875,1.0,0.2788074106814355,0.24087637745485574,0.04334944852290293,0.05279557609989226,0.6158288127590864,Medium Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,1,2,3,3,0,1,1,8,1,1,2,1,3,8,7,3,4,2,0.25,0.5,0.16666666666666666,1.0,0.75,0.40740740740740744,0.33333333333333337,0.6666666666666667,0.25,0.22222222222222232,0.625,0.25,0.23467145292208347,0.15724925566728032,0.07973013798144649,0.02811378384521648,0.4997646304160267,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để giải trí (mạng xã hội, game, xem phim)",1,1,2,3,1,1,1,6,1,2,3,2,2,8,7,5,3,4,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3703703703703704,0.0,0.33333333333333337,0.5,0.22222222222222232,0.75,0.75,0.24473802545241047,0.16297783770333862,0.04334944852290293,0.049363584509351556,0.5004288961880036,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,2,2,3,1,1,1,7,1,1,0,1,3,3,7,4,5,3,0.75,0.5,0.3333333333333333,1.0,0.5,0.4444444444444445,1.0,0.6666666666666667,0.25,0.7777777777777778,0.875,0.5,0.2634395880431646,0.23442955680135535,0.12780061281489669,0.04527374179791997,0.6709434994573366,Medium Risk
